昵称,点赞数,IP属地,评论
小巴学投资,23,广东,动手打人合法？
无忧的山丘AP,5,江苏,应该是文明和进步才是俄乌战争的导火索
大林视点,5,河南,真实、客观、公正、准确，是立论的基础。
傻人8866,13,广东,我是来看评论的
风婷雨幺,23,浙江,地球人都知道
正大光明春风Dq,4,四川,遵守联合国章程和国际法，遵守国家主权和领土完整！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
无忧的山丘AP,5,江苏,应该是文明和进步才是俄乌战争的导火索
大林视点,5,河南,真实、客观、公正、准确，是立论的基础。
傻人8866,13,广东,我是来看评论的
风婷雨幺,23,浙江,地球人都知道
正大光明春风Dq,4,四川,遵守联合国章程和国际法，遵守国家主权和领土完整！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
上进的生活家AA2,6,广东,是全世界拭目以待[微笑]
大林视点,5,河南,真实、客观、公正、准确，是立论的基础。
傻人8866,13,广东,我是来看评论的
风婷雨幺,23,浙江,地球人都知道
正大光明春风Dq,4,四川,遵守联合国章程和国际法，遵守国家主权和领土完整！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
上进的生活家AA2,6,广东,是全世界拭目以待[微笑]
大王50943965,3,陕西,坏
傻人8866,13,广东,我是来看评论的
风婷雨幺,23,浙江,地球人都知道
正大光明春风Dq,4,四川,遵守联合国章程和国际法，遵守国家主权和领土完整！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
上进的生活家AA2,6,广东,是全世界拭目以待[微笑]
大王50943965,3,陕西,坏
聪慧晚风Z7g0,24,北京,俄罗斯是什么？
风婷雨幺,23,浙江,地球人都知道
正大光明春风Dq,4,四川,遵守联合国章程和国际法，遵守国家主权和领土完整！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
上进的生活家AA2,6,广东,是全世界拭目以待[微笑]
大王50943965,3,陕西,坏
聪慧晚风Z7g0,24,北京,俄罗斯是什么？
银色星雨366,3,重庆,这个确实[泪奔]无耻了
正大光明春风Dq,4,四川,遵守联合国章程和国际法，遵守国家主权和领土完整！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
上进的生活家AA2,6,广东,是全世界拭目以待[微笑]
大王50943965,3,陕西,坏
聪慧晚风Z7g0,24,北京,俄罗斯是什么？
银色星雨366,3,重庆,这个确实[泪奔]无耻了
在细雨中呼喊,6,陕西,我是来看评论的，祖国大有希望！
数雨听香,14,福建,是美国侵略了乌克兰吗？
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
布谷一只鸟,5,河北,既然是北约东扩诱因，俄罗斯为什么不直接打北约？
上进的生活家AA2,6,广东,是全世界拭目以待[微笑]
大王50943965,3,陕西,坏
聪慧晚风Z7g0,24,北京,俄罗斯是什么？
银色星雨366,3,重庆,这个确实[泪奔]无耻了
在细雨中呼喊,6,陕西,我是来看评论的，祖国大有希望！
小宝4857,3,陕西,这种媒体和媒体人，真是耻辱
yuan7315,4,湖南,章思远这货值得被网友骂上热搜
非凡艺术家2U,3,山东,美国不拱火，乌克兰亡国了！
果爸123346,4,陕西,这种文章就是给中国抹黑的
鸿哥142763283,3,广东,人要脸树要皮，当今世界再与流氓为伍必遭孤立。
冷暖自知Zh,4,河南,从没见过如此厚颜无耻之人[捂脸]
铁路上的火车2,3,广东,此作者可以列入夹头之流
然依,3,浙江,放狗屁
溪午时闻鐘,11,河北,[捂脸]今夏最冷的笑话[灵光一闪]
拂晓无阳光,14,北京,人民群众的眼睛是雪亮的
机智的溪流PE,27,山东,奇谈怪论
生若夏花之绚烂mt,5,青海,[泪奔]，对，美帝占领了乌克兰的乌东四区，并且2014年占领了克里米亚[泪奔]
汉尼拔二次征服罗马,12,江苏,脸呢
